Speaker,enunciado,número,texto_formatado,texto_limpo,emocoes_formatada,emocao_nome
Speaker: Monica,"enunciado: ""Ok, isso é nojento.""",número: 5,"Ok, isso é nojento.",ok isso é nojento,5,Tristeza
Speaker: Rachel,"enunciado: ""Eu preciso de férias.""",número: 6,Eu preciso de férias.,eu preciso de férias,6,Disgosto
Speaker: Phoebe,"enunciado: ""Ok, isso é nojento.""",número: 7,"Ok, isso é nojento.",ok isso é nojento,7,Medo
Speaker: Phoebe,"enunciado: ""Achei que seria diferente.""",número: 7,Achei que seria diferente.,achei que seria diferente,7,Medo
Speaker: Joey,"enunciado: ""Achei que tinha acabado.""",número: 4,Achei que tinha acabado.,achei que tinha acabado,4,Surpresa
Speaker: Phoebe,"enunciado: ""Ok, isso é nojento.""",número: 2,"Ok, isso é nojento.",ok isso é nojento,2,Felicidade
Speaker: Joey,"enunciado: ""Você só pode estar brincando.""",número: 3,Você só pode estar brincando.,você só pode estar brincando,3,Raiva
Speaker: Chandler,"enunciado: ""Eu não quero falar sobre isso.""",número: 5,Eu não quero falar sobre isso.,eu não quero falar sobre isso,5,Tristeza
Speaker: Ross,"enunciado: ""Essa foi boa!""",número: 2,Essa foi boa!,essa foi boa,2,Felicidade
Speaker: Ross,"enunciado: ""Isso é mais difícil do que parece.""",número: 4,Isso é mais difícil do que parece.,isso é mais difícil do que parece,4,Surpresa
Speaker: Phoebe,"enunciado: ""Por que sempre comigo?""",número: 7,Por que sempre comigo?,por que sempre comigo,7,Medo
Speaker: Joey,"enunciado: ""Por que sempre comigo?""",número: 5,Por que sempre comigo?,por que sempre comigo,5,Tristeza
Speaker: Joey,"enunciado: ""Eu não acredito nisso!""",número: 5,Eu não acredito nisso!,eu não acredito nisso,5,Tristeza
Speaker: Chandler,"enunciado: ""Não vou cair nessa de novo.""",número: 4,Não vou cair nessa de novo.,não vou cair nessa de novo,4,Surpresa
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 1,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,1,Neutro
Speaker: Monica,"enunciado: ""Essa foi boa!""",número: 6,Essa foi boa!,essa foi boa,6,Disgosto
Speaker: Rachel,"enunciado: ""Quem pegou meu café?""",número: 1,Quem pegou meu café?,quem pegou meu café,1,Neutro
Speaker: Rachel,"enunciado: ""Não vou cair nessa de novo.""",número: 3,Não vou cair nessa de novo.,não vou cair nessa de novo,3,Raiva
Speaker: Phoebe,"enunciado: ""Ok, isso é nojento.""",número: 4,"Ok, isso é nojento.",ok isso é nojento,4,Surpresa
Speaker: Phoebe,"enunciado: ""Eu não acredito nisso!""",número: 3,Eu não acredito nisso!,eu não acredito nisso,3,Raiva
Speaker: Joey,"enunciado: ""Uau, isso é incrível!""",número: 6,"Uau, isso é incrível!",uau isso é incrível,6,Disgosto
Speaker: Phoebe,"enunciado: ""Isso é maravilhoso!""",número: 6,Isso é maravilhoso!,isso é maravilhoso,6,Disgosto
Speaker: Ross,"enunciado: ""Isso é assustador.""",número: 7,Isso é assustador.,isso é assustador,7,Medo
Speaker: Ross,"enunciado: ""Isso é mais difícil do que parece.""",número: 1,Isso é mais difícil do que parece.,isso é mais difícil do que parece,1,Neutro
Speaker: Joey,"enunciado: ""Achei que tinha acabado.""",número: 4,Achei que tinha acabado.,achei que tinha acabado,4,Surpresa
Speaker: Ross,"enunciado: ""Você não entende nunca?""",número: 5,Você não entende nunca?,você não entende nunca,5,Tristeza
Speaker: Monica,"enunciado: ""Isso é assustador.""",número: 5,Isso é assustador.,isso é assustador,5,Tristeza
Speaker: Joey,"enunciado: ""Uau, isso é incrível!""",número: 1,"Uau, isso é incrível!",uau isso é incrível,1,Neutro
Speaker: Ross,"enunciado: ""Eu preciso de férias.""",número: 3,Eu preciso de férias.,eu preciso de férias,3,Raiva
Speaker: Monica,"enunciado: ""Eu não quero falar sobre isso.""",número: 1,Eu não quero falar sobre isso.,eu não quero falar sobre isso,1,Neutro
Speaker: Joey,"enunciado: ""Isso é maravilhoso!""",número: 7,Isso é maravilhoso!,isso é maravilhoso,7,Medo
Speaker: Joey,"enunciado: ""Você só pode estar brincando.""",número: 7,Você só pode estar brincando.,você só pode estar brincando,7,Medo
Speaker: Ross,"enunciado: ""Não vou cair nessa de novo.""",número: 6,Não vou cair nessa de novo.,não vou cair nessa de novo,6,Disgosto
Speaker: Phoebe,"enunciado: ""Isso é maravilhoso!""",número: 1,Isso é maravilhoso!,isso é maravilhoso,1,Neutro
Speaker: Ross,"enunciado: ""Você fez isso de propósito?""",número: 1,Você fez isso de propósito?,você fez isso de propósito,1,Neutro
Speaker: Joey,"enunciado: ""Isso é mais difícil do que parece.""",número: 4,Isso é mais difícil do que parece.,isso é mais difícil do que parece,4,Surpresa
Speaker: Monica,"enunciado: ""Não vou cair nessa de novo.""",número: 4,Não vou cair nessa de novo.,não vou cair nessa de novo,4,Surpresa
Speaker: Rachel,"enunciado: ""Eu não acredito nisso!""",número: 2,Eu não acredito nisso!,eu não acredito nisso,2,Felicidade
Speaker: Joey,"enunciado: ""Você só pode estar brincando.""",número: 3,Você só pode estar brincando.,você só pode estar brincando,3,Raiva
Speaker: Ross,"enunciado: ""Você só pode estar brincando.""",número: 1,Você só pode estar brincando.,você só pode estar brincando,1,Neutro
Speaker: Phoebe,"enunciado: ""Não vou cair nessa de novo.""",número: 2,Não vou cair nessa de novo.,não vou cair nessa de novo,2,Felicidade
Speaker: Phoebe,"enunciado: ""Essa foi boa!""",número: 2,Essa foi boa!,essa foi boa,2,Felicidade
Speaker: Monica,"enunciado: ""Sério, isso é hilário.""",número: 6,"Sério, isso é hilário.",sério isso é hilário,6,Disgosto
Speaker: Chandler,"enunciado: ""Essa foi boa!""",número: 3,Essa foi boa!,essa foi boa,3,Raiva
Speaker: Chandler,"enunciado: ""Essa foi boa!""",número: 7,Essa foi boa!,essa foi boa,7,Medo
Speaker: Ross,"enunciado: ""Eu preciso de férias.""",número: 6,Eu preciso de férias.,eu preciso de férias,6,Disgosto
Speaker: Rachel,"enunciado: ""Uau, isso é incrível!""",número: 6,"Uau, isso é incrível!",uau isso é incrível,6,Disgosto
Speaker: Phoebe,"enunciado: ""Eu preciso de férias.""",número: 1,Eu preciso de férias.,eu preciso de férias,1,Neutro
Speaker: Monica,"enunciado: ""Você só pode estar brincando.""",número: 3,Você só pode estar brincando.,você só pode estar brincando,3,Raiva
Speaker: Chandler,"enunciado: ""Eu preciso de férias.""",número: 5,Eu preciso de férias.,eu preciso de férias,5,Tristeza
Speaker: Monica,"enunciado: ""Isso é mais difícil do que parece.""",número: 2,Isso é mais difícil do que parece.,isso é mais difícil do que parece,2,Felicidade
Speaker: Chandler,"enunciado: ""Essa foi boa!""",número: 4,Essa foi boa!,essa foi boa,4,Surpresa
Speaker: Joey,"enunciado: ""Isso é assustador.""",número: 2,Isso é assustador.,isso é assustador,2,Felicidade
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 6,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,6,Disgosto
Speaker: Monica,"enunciado: ""Eu não quero falar sobre isso.""",número: 7,Eu não quero falar sobre isso.,eu não quero falar sobre isso,7,Medo
Speaker: Monica,"enunciado: ""Uau, isso é incrível!""",número: 1,"Uau, isso é incrível!",uau isso é incrível,1,Neutro
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 2,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,2,Felicidade
Speaker: Rachel,"enunciado: ""Ok, isso é nojento.""",número: 2,"Ok, isso é nojento.",ok isso é nojento,2,Felicidade
Speaker: Phoebe,"enunciado: ""Eu preciso de férias.""",número: 6,Eu preciso de férias.,eu preciso de férias,6,Disgosto
Speaker: Ross,"enunciado: ""Eu não acredito nisso!""",número: 4,Eu não acredito nisso!,eu não acredito nisso,4,Surpresa
Speaker: Ross,"enunciado: ""Não vou cair nessa de novo.""",número: 3,Não vou cair nessa de novo.,não vou cair nessa de novo,3,Raiva
Speaker: Joey,"enunciado: ""Eu não acredito nisso!""",número: 3,Eu não acredito nisso!,eu não acredito nisso,3,Raiva
Speaker: Rachel,"enunciado: ""Sério, isso é hilário.""",número: 5,"Sério, isso é hilário.",sério isso é hilário,5,Tristeza
Speaker: Ross,"enunciado: ""Você só pode estar brincando.""",número: 3,Você só pode estar brincando.,você só pode estar brincando,3,Raiva
Speaker: Monica,"enunciado: ""Essa foi boa!""",número: 1,Essa foi boa!,essa foi boa,1,Neutro
Speaker: Phoebe,"enunciado: ""Achei que tinha acabado.""",número: 2,Achei que tinha acabado.,achei que tinha acabado,2,Felicidade
Speaker: Phoebe,"enunciado: ""Achei que tinha acabado.""",número: 1,Achei que tinha acabado.,achei que tinha acabado,1,Neutro
Speaker: Joey,"enunciado: ""Isso é assustador.""",número: 6,Isso é assustador.,isso é assustador,6,Disgosto
Speaker: Ross,"enunciado: ""Por que sempre comigo?""",número: 7,Por que sempre comigo?,por que sempre comigo,7,Medo
Speaker: Ross,"enunciado: ""Achei que tinha acabado.""",número: 6,Achei que tinha acabado.,achei que tinha acabado,6,Disgosto
Speaker: Joey,"enunciado: ""Você não entende nunca?""",número: 1,Você não entende nunca?,você não entende nunca,1,Neutro
Speaker: Chandler,"enunciado: ""Eu não quero falar sobre isso.""",número: 4,Eu não quero falar sobre isso.,eu não quero falar sobre isso,4,Surpresa
Speaker: Chandler,"enunciado: ""Ok, isso é nojento.""",número: 7,"Ok, isso é nojento.",ok isso é nojento,7,Medo
Speaker: Chandler,"enunciado: ""Achei que seria diferente.""",número: 3,Achei que seria diferente.,achei que seria diferente,3,Raiva
Speaker: Chandler,"enunciado: ""Isso é maravilhoso!""",número: 5,Isso é maravilhoso!,isso é maravilhoso,5,Tristeza
Speaker: Monica,"enunciado: ""Você só pode estar brincando.""",número: 2,Você só pode estar brincando.,você só pode estar brincando,2,Felicidade
Speaker: Chandler,"enunciado: ""Sério, isso é hilário.""",número: 7,"Sério, isso é hilário.",sério isso é hilário,7,Medo
Speaker: Monica,"enunciado: ""Essa foi boa!""",número: 6,Essa foi boa!,essa foi boa,6,Disgosto
Speaker: Chandler,"enunciado: ""Isso é maravilhoso!""",número: 4,Isso é maravilhoso!,isso é maravilhoso,4,Surpresa
Speaker: Chandler,"enunciado: ""Sério, isso é hilário.""",número: 4,"Sério, isso é hilário.",sério isso é hilário,4,Surpresa
Speaker: Monica,"enunciado: ""Isso é maravilhoso!""",número: 7,Isso é maravilhoso!,isso é maravilhoso,7,Medo
Speaker: Rachel,"enunciado: ""Achei que tinha acabado.""",número: 2,Achei que tinha acabado.,achei que tinha acabado,2,Felicidade
Speaker: Rachel,"enunciado: ""Eu preciso de férias.""",número: 4,Eu preciso de férias.,eu preciso de férias,4,Surpresa
Speaker: Chandler,"enunciado: ""Eu não quero falar sobre isso.""",número: 6,Eu não quero falar sobre isso.,eu não quero falar sobre isso,6,Disgosto
Speaker: Monica,"enunciado: ""Uau, isso é incrível!""",número: 1,"Uau, isso é incrível!",uau isso é incrível,1,Neutro
Speaker: Chandler,"enunciado: ""Isso é maravilhoso!""",número: 6,Isso é maravilhoso!,isso é maravilhoso,6,Disgosto
Speaker: Rachel,"enunciado: ""Achei que seria diferente.""",número: 1,Achei que seria diferente.,achei que seria diferente,1,Neutro
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 5,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,5,Tristeza
Speaker: Joey,"enunciado: ""Eu preciso de férias.""",número: 5,Eu preciso de férias.,eu preciso de férias,5,Tristeza
Speaker: Rachel,"enunciado: ""Quem pegou meu café?""",número: 7,Quem pegou meu café?,quem pegou meu café,7,Medo
Speaker: Phoebe,"enunciado: ""Você não entende nunca?""",número: 2,Você não entende nunca?,você não entende nunca,2,Felicidade
Speaker: Phoebe,"enunciado: ""Isso é assustador.""",número: 7,Isso é assustador.,isso é assustador,7,Medo
Speaker: Ross,"enunciado: ""Posso cantar uma música sobre isso?""",número: 4,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,4,Surpresa
Speaker: Phoebe,"enunciado: ""Isso é mais difícil do que parece.""",número: 4,Isso é mais difícil do que parece.,isso é mais difícil do que parece,4,Surpresa
Speaker: Joey,"enunciado: ""Você não entende nunca?""",número: 7,Você não entende nunca?,você não entende nunca,7,Medo
Speaker: Rachel,"enunciado: ""Eu preciso de férias.""",número: 1,Eu preciso de férias.,eu preciso de férias,1,Neutro
Speaker: Joey,"enunciado: ""Sério, isso é hilário.""",número: 7,"Sério, isso é hilário.",sério isso é hilário,7,Medo
Speaker: Rachel,"enunciado: ""Isso é maravilhoso!""",número: 4,Isso é maravilhoso!,isso é maravilhoso,4,Surpresa
Speaker: Phoebe,"enunciado: ""Sério, isso é hilário.""",número: 7,"Sério, isso é hilário.",sério isso é hilário,7,Medo
Speaker: Ross,"enunciado: ""Isso é maravilhoso!""",número: 2,Isso é maravilhoso!,isso é maravilhoso,2,Felicidade
Speaker: Monica,"enunciado: ""Isso é mais difícil do que parece.""",número: 7,Isso é mais difícil do que parece.,isso é mais difícil do que parece,7,Medo
Speaker: Joey,"enunciado: ""Achei que seria diferente.""",número: 7,Achei que seria diferente.,achei que seria diferente,7,Medo
Speaker: Phoebe,"enunciado: ""Eu não quero falar sobre isso.""",número: 1,Eu não quero falar sobre isso.,eu não quero falar sobre isso,1,Neutro
Speaker: Phoebe,"enunciado: ""Essa foi boa!""",número: 3,Essa foi boa!,essa foi boa,3,Raiva
Speaker: Ross,"enunciado: ""Posso cantar uma música sobre isso?""",número: 1,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,1,Neutro
Speaker: Chandler,"enunciado: ""Eu não quero falar sobre isso.""",número: 7,Eu não quero falar sobre isso.,eu não quero falar sobre isso,7,Medo
Speaker: Ross,"enunciado: ""Eu preciso de férias.""",número: 3,Eu preciso de férias.,eu preciso de férias,3,Raiva
Speaker: Chandler,"enunciado: ""Achei que seria diferente.""",número: 1,Achei que seria diferente.,achei que seria diferente,1,Neutro
Speaker: Joey,"enunciado: ""Por que sempre comigo?""",número: 6,Por que sempre comigo?,por que sempre comigo,6,Disgosto
Speaker: Rachel,"enunciado: ""Ok, isso é nojento.""",número: 2,"Ok, isso é nojento.",ok isso é nojento,2,Felicidade
Speaker: Phoebe,"enunciado: ""Isso é mais difícil do que parece.""",número: 1,Isso é mais difícil do que parece.,isso é mais difícil do que parece,1,Neutro
Speaker: Chandler,"enunciado: ""Você fez isso de propósito?""",número: 2,Você fez isso de propósito?,você fez isso de propósito,2,Felicidade
Speaker: Rachel,"enunciado: ""Achei que tinha acabado.""",número: 7,Achei que tinha acabado.,achei que tinha acabado,7,Medo
Speaker: Phoebe,"enunciado: ""Você não entende nunca?""",número: 7,Você não entende nunca?,você não entende nunca,7,Medo
Speaker: Joey,"enunciado: ""Por que sempre comigo?""",número: 4,Por que sempre comigo?,por que sempre comigo,4,Surpresa
Speaker: Chandler,"enunciado: ""Isso é muito triste.""",número: 2,Isso é muito triste.,isso é muito triste,2,Felicidade
Speaker: Joey,"enunciado: ""Isso é mais difícil do que parece.""",número: 2,Isso é mais difícil do que parece.,isso é mais difícil do que parece,2,Felicidade
Speaker: Joey,"enunciado: ""Ok, isso é nojento.""",número: 3,"Ok, isso é nojento.",ok isso é nojento,3,Raiva
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 2,Posso cantar uma música sobre isso?,posso cantar uma música sobre isso,2,Felicidade
Speaker: Joey,"enunciado: ""Isso é mais difícil do que parece.""",número: 4,Isso é mais difícil do que parece.,isso é mais difícil do que parece,4,Surpresa
